sentPcktSize1,sentPcktSize2,sentPcktSize3,sentPcktSize4,sentPcktSize5,sentPcktSize6,sentPcktSize7,sentPcktSize8,sentPcktSize9,sentPcktSize10,rcvdPcktSize1,rcvdPcktSize2,rcvdPcktSize3,rcvdPcktSize4,rcvdPcktSize5,rcvdPcktSize6,rcvdPcktSize7,rcvdPcktSize8,rcvdPcktSize9,rcvdPcktSize10,label,sentInterPcktDelay1,sentInterPcktDelay2,sentInterPcktDelay3,sentInterPcktDelay4,sentInterPcktDelay5,sentInterPcktDelay6,sentInterPcktDelay7,sentInterPcktDelay8,sentInterPcktDelay9,rcvdInterPcktDelay1,rcvdInterPcktDelay2,rcvdInterPcktDelay3,rcvdInterPcktDelay4,rcvdInterPcktDelay5,rcvdInterPcktDelay6,rcvdInterPcktDelay7,rcvdInterPcktDelay8,rcvdInterPcktDelay9
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,212,smart-bulb,0.12899994850158691,54.06300020217896,0.07199978828430176,54.13300013542175,0.09999990463256836,54.10600018501282,0.13199973106384275,54.06700015068054,0.06599998474121094,54.193000316619866,54.20499992370606,54.206000089645386,54.19899988174439,54.180999994277954,54.16000008583069,54.17199993133545,54.1639997959137,48.873000144958496
158,52,52,830,158,52,158,52,52,830,121,233,52,52,121,121,233,52,0,0,smart-plug,0.021000146865844727,158.67499995231628,0.018999814987182617,76.5680000782013,0.05800008773803711,235.81199979782104,0.029000043869018555,123.3180000782013,0.122999906539917,158.67600011825564,0.07599973678588867,76.52999997138976,0.0010001659393310547,235.86899995803836,123.32400012016295,0.18599987030029294,600.0,600.0
44,40,185,40,40,40,40,166,40,40,44,40,1492,1492,1492,865,865,91,40,1159,smart-bulb,0.013000249862670898,0.08799982070922853,0.01100015640258789,0.007999897003173828,0.0009999275207519533,0.0030002593994140625,0.370999813079834,0.0,0.0,0.1010000705718994,0.0030002593994140625,0.0009996891021728516,0.007000207901000977,0.008999824523925781,0.29200029373168945,0.0819997787475586,0.15700006484985352,0.3570001125335693
44,40,185,40,40,40,40,166,40,40,44,40,1492,1492,1492,865,865,91,1172,40,smart-bulb,0.010999917984008787,0.09600019454956056,0.01399993896484375,0.004999876022338867,0.0,0.006999969482421875,0.3690001964569092,0.0,0.0009996891021728516,0.1079998016357422,0.006000041961669922,0.0,0.007000207901000977,0.004999876022338867,0.315000057220459,0.06199979782104492,0.14400029182434082,0.02500009536743164
44,40,185,40,40,40,40,40,166,40,44,40,1250,1250,1250,1250,381,91,40,1167,smart-bulb,0.0709998607635498,0.10200023651123047,0.01399993896484375,0.0,0.0009999275207519533,0.010999917984008787,0.10800004005432128,0.2569999694824219,0.0,0.17300009727478027,0.0029997825622558594,0.0,0.012000322341918944,0.0009996891021728516,0.009999990463256836,0.3659999370574951,0.16200017929077148,0.1789999008178711
424,654,174,488,190,1460,360,190,398,1460,52,52,52,52,52,52,52,52,52,52,nest-security-camera,0.018000125885009766,0.02599978446960449,0.039999961853027344,0.017000198364257812,0.017999887466430664,0.0,0.02500009536743164,0.014999866485595703,0.04900026321411133,0.017999887466430664,0.02500009536743164,0.0410001277923584,0.01699972152709961,0.017000198364257812,0.02499985694885254,0.015000104904174803,0.04999995231628418,0.01100015640258789
40,1196,40,40,40,40,40,40,40,40,40,40,1500,1500,602,40,40,40,40,40,motion-sensor,2.0179998874664307,0.07400012016296388,0.0009996891021728516,0.013000249862670898,5.00600004196167,5.015999794006348,5.01200008392334,5.01200008392334,5.015999794006348,2.059000015258789,0.019999980926513672,0.0,0.012999773025512695,5.019000291824341,5.0179998874664316,5.011000156402588,5.011999845504762,5.019000053405762
60,40,475,40,40,40,91,202,40,40,52,40,126,46,85,40,40,40,40,40,motion-sensor,0.01399993896484375,0.002000093460083008,0.013000011444091795,0.0009999275207519533,0.0010001659393310547,0.0029997825622558594,0.049000024795532234,5.021000146865845,5.01200008392334,0.016000032424926758,0.0,0.0,0.0,0.05500006675720215,0.013000249862670898,4.998999834060669,5.019999980926514,5.016000032424927
60,40,475,40,40,40,91,202,40,40,52,40,126,46,85,40,40,40,40,40,motion-sensor,0.012999773025512695,0.0010001659393310547,0.01399993896484375,0.0,0.0009999275207519533,0.003000020980834961,0.04999995231628418,5.01200008392334,5.01200008392334,0.014000177383422852,0.0009996891021728516,0.0,0.0,0.0540003776550293,0.012999773025512695,4.999000072479248,5.01200008392334,5.016000032424927
106,40,106,40,106,40,106,40,106,40,40,100,40,100,100,100,100,212,40,40,smart-bulb,0.1770000457763672,54.01599979400635,0.11700010299682614,54.075000047683716,0.06200003623962402,54.13500022888184,0.0989997386932373,54.088000059127815,0.04999995231628418,0.11799979209899902,54.03700017929077,0.0,54.19199991226196,54.19700002670288,54.18799996376038,51.91300010681152,0.09199976921081544,1.763000249862671
